duration,avg_vote,budget,worldwide_gross_income,metascore,director_power,book_label,production_power,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
104,5.5,1000000,30158,33,30158,0,30158,42964410,100000,42964.409999999996,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
124,6.1,25000000,9617377,56,9617377,1,9617377,101758490,1000000,10175.849,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,6.5,28000000,58834384,57,58834384,0,58834384,17835162,200000,8917.581,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,7.0,150000000,1670401444,59,1679422848,0,18598370331,75462037,880000,8575.231477272728,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,6.2,45000000,30134958,56,30134958,1,1225311015,99557032,1500000,6637.135466666667,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,5.1,30000000,54819301,56,310813548,0,14699910437,62882090,1000000,6288.209,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,7.7,260000000,592461732,71,592461732,1,25309406600,272500313,4500000,6055.562511111111,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,6.6,250000000,284139100,51,1312709989,0,25309406600,177512032,3000000,5917.067733333333,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,6.0,163000000,174822325,50,3470699497,0,18598370331,207039844,5000000,4140.79688,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,5.9,69000000,86855739,56,263057302,0,15651908509,257047661,6500000,3954.5794,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,6.7,110000000,177238796,47,257020491,0,14699910437,69432527,1800000,3857.362611111111,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,5.9,14000000,85446075,45,85446075,0,85446075,161919318,5000000,3238.38636,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
127,7.1,110000000,299268508,56,949526187,0,9703091422,64676349,2000000,3233.81745,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,6.5,25000000,66980456,47,360483810,1,66980456,278454358,9000000,3093.937311111111,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
103,8.3,200000000,1066969703,92,1874053373,0,25309406600,148868835,4900000,3038.139489795918,2.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,7.3,170000000,404852543,53,422349363,0,14699910437,89328627,3000000,2977.6209000000003,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,7.3,65000000,275293450,86,1963426356,1,9703091422,142802657,5000000,2856.05314,1.0,0.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,7.5,60000000,47664559,69,320698933,0,18598370331,427374317,15000000,2849.1621133333333,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,7.1,100000000,365971656,71,821356375,0,18585852641,82515113,3000000,2750.5037666666667,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,6.6,130000000,554987477,65,554987477,0,9703091422,26895481,1000000,2689.5481,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,7.4,149000000,821847012,76,821847012,0,18585852641,125479266,4800000,2614.1513750000004,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,7.5,40000000,97470701,62,140443695,0,18585852641,3242802,125000,2594.2416000000003,0.0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,7.9,120000000,609016565,79,813417065,1,3220110091,255485178,10000000,2554.85178,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,6.5,20000000,54806823,56,201743733,0,81900415,329398046,13000000,2533.831123076923,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
132,7.2,55000000,192330738,57,616932402,0,14480294208,73256266,3000000,2441.8755333333334,2.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,6.9,140000000,370569774,66,510359539,0,15651908509,60159584,2500000,2406.38336,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,6.4,12000000,7257942,34,7257942,1,69334083,167739368,7000000,2396.2766857142856,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,6.4,14000000,564864,61,79553012,0,1075614691,21528593,1000000,2152.8593,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
108,7.7,15000000,36869414,78,79940329,0,230998157,103687316,5000000,2073.74632,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
104,6.2,75000000,152930623,59,397750485,0,18598370331,306515884,15000000,2043.4392266666666,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,5.4,110000000,563749323,30,950451537,0,14480294208,340949169,17000000,2005.5833470588236,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,6.6,40000000,76130093,49,415260230,0,938892114,701796444,35000000,2005.1326971428573,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,6.6,200000000,336365676,50,336365676,0,25309406600,98450062,5000000,1969.00124,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
