,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2,oscar_win,book2,G,NC17,NR,PG,PG-13,R
0,2010,In My Sleep,In My Sleep,2010-04-23,"Drama, Mystery, Thriller",104,USA,Morning Star Pictures,5.5,33.0,PG-13,,$,30158,$,1000000.0,0,0,0,0,0,0,1,0
1,2010,Rapunzel: L'intreccio della torre,Tangled,2010-11-26,"Animation, Adventure, Comedy",100,USA,Walt Disney Animation Studios,7.7,71.0,PG,Tangled,$,592461732,$,260000000.0,0,1,0,0,0,1,0,0
3,2010,Tekken,Tekken,2011-08-05,"Action, Crime, Drama",87,"Japan, USA",CST Productions,4.8,,R,,$,1697207,$,30000000.0,0,0,0,0,0,0,0,1
4,2010,A cena con un cretino,Dinner for Schmucks,2010-11-05,Comedy,114,USA,Paramount Pictures,5.9,56.0,PG-13,,$,86855739,$,69000000.0,0,0,0,0,0,0,1,0
5,2010,A-Team,The A-Team,2010-06-18,"Action, Adventure, Thriller",117,"USA, UK",Twentieth Century Fox,6.7,47.0,PG-13,,$,177238796,$,110000000.0,0,0,0,0,0,0,1,0
10,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,,$,1066969703,$,200000000.0,0,0,1,0,0,0,0,0
12,2010,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010-11-19,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",Universal Pictures,7.5,69.0,PG-13,,$,47664559,$,60000000.0,0,0,0,0,0,0,1,0
14,2010,La città verrà distrutta all'alba,The Crazies,2010-04-23,"Horror, Thriller",101,"USA, United Arab Emirates",Overture Films,6.5,56.0,R,,$,54806823,$,20000000.0,0,0,0,0,0,0,0,1
17,2010,Prince of Persia - Le sabbie del tempo,Prince of Persia: The Sands of Time,2010-05-19,"Action, Adventure, Fantasy",116,USA,Walt Disney Pictures,6.6,50.0,PG-13,,$,336365676,$,200000000.0,0,0,0,0,0,0,1,0
18,2010,Unstoppable - Fuori controllo,Unstoppable,2010-11-12,"Action, Thriller",98,USA,Twentieth Century Fox,6.8,69.0,PG-13,,$,167805466,$,100000000.0,0,0,0,0,0,0,1,0
