,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company_x,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors_y
0,In My Sleep,In My Sleep,2010,2010.4.23,"Drama, Mystery, Thriller",104,USA,English,Allen Wolf,Allen Wolf,Morning Star Pictures,5.5,"$1,000,000 ","$30,158 ",33,PG-13,"Philip Winchester, Tim Draxl, Lacey Chabert, Abigail Spencer, Phoebe Price, Kelly Overton, Amy Aquino, Tony Hale, Kevin Kilner, Aidan Mitchell, Michael Badalucco, Beth Grant, Alexandra Paul, Kirsten Vangsness, Patrick Labyorteaux, Allan Wasserman, Patrick Layorteaux, Bellamy Young, Shanna Collins, Marcelle Larice, Christopher Darga, Larry Clarke, Robert L. Joseph, Joseph A. Nuñez, Bunny Levine, Kathryn Fiore, Vanessa Lee Evigan, Natalie DuBose, Kevin Michael Curran, Sean Gabriel Moore, Joy Bisco, Nancy Sexton"
1,On the Road,On the Road,2012,2012.10.11,"Adventure, Drama, Romance",124,"France, USA, UK, Mexico, Canada, Brazil, Germany, Netherlands, Argentina","English, French",Walter Salles,"Jack Kerouac, Jose Rivera",MK2 Productions,6.1,"$25,000,000 ","$9,617,377 ",56,R,"Garrett Hedlund, Sam Riley, Kristen Stewart, Kirsten Dunst, Viggo Mortensen, Amy Adams, Tom Sturridge, Alice Braga, Marie-Ginette Guay, Elisabeth Moss, Danny Morgan, Charlie Haden, Brian Blade"
3,La preda perfetta,A Walk Among the Tombstones,2014,2014.9.18,"Action, Crime, Drama",114,USA,"English, Spanish, Urdu, Russian",Scott Frank,"Lawrence Block, Scott Frank",1984 Private Defense Contractors,6.5,"$28,000,000 ","$58,834,384 ",57,R,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook, Patrick F. McDade, Laura Birn, Luciano Acuna Jr., Hans Marrero, Adam David Thompson, Adam Thompson, Kim Rosen, Eric Nelsen, Jon Goracy, Razane Jammal, Stephanie Andujar, Al Nazemian, Sophia Frank, Susham Bedi, Purva Bedi, Novella Nelson, Marielle Heller, Astro, Frank DeJulio, Olafur Darri Olafsson, Mark Consuelos, Natia Dune, Genevieve Adams, Liana DeLaurent, Sebastian Roche, Danielle Rose Russell, David Anzuelo, Samuel Mercedes, Mike Figueroa, Mike Carlsen, Leon Addison Brown, Damion Omar Lee, Jeremie Harris, Jolly Abraham, Nina Polan, Briana Marin, Arthur Gerunda, Fabrizio Brienza, Dennis Funny, Whitney Able, Chinasa Ogbuagu, Louise G. Colón"
4,Jurassic World,Jurassic World,2015,2015.6.11,"Action, Adventure, Sci-Fi",124,USA,English,Colin Trevorrow,"Rick Jaffa, Amanda Silver",Universal Pictures,7,"$150,000,000 ","$1,670,401,444 ",59,PG-13,"Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Judy Greer, Nicholas John Robinson, Omar Sy, Jake Johnson (XVI), Nick Robinson, Lauren Lapkus, Katie McGrath, Ty Simpkins, B.D. Wong, Irrfan Khan, Brian Tee, Eddie J. Fernandez, Andy Buckley (II), Kelly Washington, Divine Prince Ty Emmecca, Jennifer Rikert Wolski, Matthew Cardarople, Gary Weeks, Fileena Bahris, Hélène Cardona, Eric Edelstein, Inder Kumar, Courtney J. Clark, Colby Boothman-Shepard, Colby Boothman, Jimmy Fallon, James DuMont, Matthew Burke, Michael Papajohn, Isaac Keys, Anna Talakkottur, Patrick Crowley, William Gary Smith, Chad Randall, Bill Ogilvie, Alan Tam, Chloe Perrin, Kevin Foster, Brad Bird, Yvonne Welch, Timothy Eulich, Bonnie Wild, Colin Trevorrow"
5,The Rum Diary - Cronache di una passione,The Rum Diary,2011,2012.4.24,"Comedy, Drama",119,"USA, UK","English, Spanish, German",Bruce Robinson,"Bruce Robinson, Hunter S. Thompson",GK Films,6.2,"$45,000,000 ","$30,134,958 ",56,R,"Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins, Giovanni Ribisi, Amaury Nolasco, Marshall Bell, Bill Smitrovich, Julian Holloway, Bruno Irizarry, Enzo Cilenti, Aaron Lustig, Tisuby González, Natalia Rivera, Karen Austin, Julio Ramos, Rafa Alvarez, Sasha Merced, Eduardo Cortés, Karimah Westbrook, Guillermo Valedón, William R. Charlton, Javier Grajeda, Miguel Angel Reyes, Terrance Harlness, Andy Umberger, Armando Perez Mantaras, Bill Chott, Gavin Houston, Lisa Robins, Noel Delgado, Alejandro Carpio, Jaime ""Jimmy"" Navarro, Jimmy Navarro, Carlos Alberto López, Jimmy Ortega, José Coriano, Angel Nolasco, Javier Ortiz-Cortés, Jorge Antares, Aurelio Lima, Luis Gonzaga, Randall Jacobs, Edgar Lebrón Landrau, Eric Colón, Daniel Kalal"
6,I tre marmittoni,The Three Stooges,2012,2012.6.27,"Comedy, Family",92,USA,English,"Bobby Farrelly, Peter Farrelly","Mike Cerrone, Bobby Farrelly",Twentieth Century Fox,5.1,"$30,000,000 ","$54,819,301 ",56,PG,"Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch, Sofía Vergara, Jennifer Hudson, Craig Bierko, Stephen Collins, Larry David, Kirby Heyborne, Carly Craig, Kate Upton, Marianne Leone, Brian Doyle-Murray, Mike 'The Situation' Sorrentino, Nicole ""Snooki"" Polizzi, Jenni ""JWoww"" Farley, Ronnie Magro, Sammi ""Sweetheart"" Giancola, Avalon Robbins, Max Charles, Jake Peck, Patty Ross, Lee Armstrong, Emy Coligado, Ray Collins, Isaiah Mustafa, Mark J. Kogan, Michael D'Allessio, Donna D'Allessio, Bob Kocsis, Apple Kocsis, Jackie Flynn, Sandra Dorsey, Vince Canlas, Ric Reitz, Caryl West, Sayed Badreya, Johnny Seal, Deborah Walker, Michael L. Kuhn, Pamela Smith, Lucy Thomas, Charlie G. Thomas, Skyler Gisondo, Lance Chantiles-Wertz, Robert Capron, Danny Smith, Kyla Kenedy, Erin Allin O'Reilly, Caitlin Colford, Caroline Kimberly Scott, Mariann Neary, Jesse Farrelly, Jerod Mayo, Troy Brown, Patricia French, Roy Jenkins, Barry Guy, Matthew Collins, Matthew L. Collins, William F. Scannell, Jonathan Kennedy, Lin Shaye, Steve Tyler, Myron Parker Jr., J.R. Fondessy, Robert J. Benjamin, Reid Meadows, Dwight Howard, Dallas Hobbs, Carter Hayden, Cooper Callihan, Kieran Vine, Antonio Sabato Jr., Justin Lopez"
7,Rapunzel: L'intreccio della torre,Tangled,2010,2010.11.26,"Animation, Adventure, Comedy",100,USA,English,"Nathan Greno, Byron Howard","Dan Fogelman, Jacob Grimm",Walt Disney Animation Studios,7.7,"$260,000,000 ","$592,461,732 ",71,PG,"Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Delaney Rose Stein, Nathan Greno, Byron Howard, Tim Mertens, Bob Bergen, Susanne Blakeslee, June Christopher, Roy Conli, Susan Blakeslee, David Cowgill, Terri Douglas, Chad Einbinder, Patrick Fraley, Eddie Frierson, Jackie Gonneau, Nicholas Guest, Bridget Hoffman, Anne Lockhart, Mona Marshall, Scott Menville, Daniel A. Kaz, Laraine Newman, Paul Pape, Lynwood Robinson, Fred Tatasciore, Hynden Walch, Kari Wahlgren"
8,John Carter,John Carter,2012,2012.3.7,"Action, Adventure, Sci-Fi",132,USA,English,Andrew Stanton,"Andrew Stanton, Mark Andrews",Walt Disney Pictures,6.6,"$250,000,000 ","$284,139,100 ",51,PG-13,"Antonio Sabato Jr., Traci Lords, Phil Philmar, Si Evans"
9,Cowboys & Aliens,Cowboys & Aliens,2011,2011.10.14,"Action, Sci-Fi, Thriller",119,"USA, India","English, Apache languages",Jon Favreau,"Roberto Orci, Alex Kurtzman",Universal Pictures,6,"$163,000,000 ","$174,822,325 ",50,PG-13,"Daniel Craig, Olivia Wilde, Harrison Ford, Paul Dano, Adam Beach, Noah Ringer, Abigail Spencer, Sam Rockwell, Brendan Wayne, Buck Taylor, Matt Taylor, Cooper Taylor, Clancy Brown, Chris Browning, Ana de la Reguera, Brian Duffy, Julio Cedillo, Keith Carradine, Gavin Grazer, Toby Huss, Wyatt Russell, Jimmy Jatho, Kenny Call, Walton Goggins, Julio Cesar Cedillo, Garret James Noel, David O'Hara, Troy M. Gilbert, Chad Randall, Scout Hendrickson, Raoul Trujillo, David Midthunder, Troy M. Gilbert, Mo Brings Plenty, Phillip Pike, Calum Blaylock, Paul Ortega, Nathaniel Chee, Robyn Simmons, Simon Choneska, David Chee, Vonda Tso, Freddie Apache, Lariat Geronimo, Oliver Enjady, Hoyle Osborne, Rex Rideout"
10,A cena con un cretino,Dinner for Schmucks,2010,2010.11.5,Comedy,114,USA,English,Jay Roach,"David Guion, Michael Handelman",Paramount Pictures,5.9,"$69,000,000 ","$86,855,739 ",56,PG-13,"Paul Rudd, Steve Carell, Zach Galifianakis, Jemaine Clement, Stephanie Szostak, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston, Larry Wilmore, Kristen Schaal, P.J. Byrne, Andrea Savage, Nick Kroll, Randall Park, Lucy Davenport, Chris O'Dowd, Jeff Dunham, Octavia Spencer, Patrick Fischler, Rick Overton, Eric Winzenried, Nicole LaLiberte, Maria Zyrianova, Scott Weintraub"
