year_film,year_ceremony,ceremony,name,film,winner,category2,name1,name2,name3,name4
1927,1928,1,Benjamin Glazer,7th Heaven,True,WRITING,Benjamin Glazer,,,
1927,1928,1,Ben Hecht,Underworld,True,WRITING,Ben Hecht,,,
1928,1929,2,Hans Kraly,The Patriot,True,WRITING,Hans Kraly,,,
1929,1930,3,Frances Marion,The Big House,True,WRITING,Frances Marion,,,
1930,1931,4,Howard Estabrook,Cimarron,True,WRITING,Howard Estabrook,,,
1930,1931,4,John Monk Saunders,The Dawn Patrol,True,WRITING,John Monk Saunders,,,
1931,1932,5,Edwin Burke,Bad Girl,True,WRITING,Edwin Burke,,,
1931,1932,5,Frances Marion,The Champ,True,WRITING,Frances Marion,,,
1932,1933,6,"Victor Heerman, Sarah Y. Mason",Little Women,True,WRITING,Victor Heerman, Sarah Y. Mason,,
1932,1933,6,Robert Lord,One Way Passage,True,WRITING,Robert Lord,,,
1934,1935,7,Robert Riskin,It Happened One Night,True,WRITING,Robert Riskin,,,
1934,1935,7,Arthur Caesar,Manhattan Melodrama,True,WRITING,Arthur Caesar,,,
1935,1936,8,"Ben Hecht, Charles MacArthur",The Scoundrel,True,WRITING,Ben Hecht, Charles MacArthur,,
1935,1936,8,Dudley Nichols,The Informer,True,WRITING,Dudley Nichols,,,
1936,1937,9,"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,True,WRITING,Pierre Collings, Sheridan Gibney,,
1937,1938,10,"William A. Wellman, Robert Carson",A Star Is Born,True,WRITING,William A. Wellman, Robert Carson,,
1937,1938,10,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",The Life of Emile Zola,True,WRITING,Norman Reilly Raine, Heinz Herald, Geza Herczeg,
1938,1939,11,"Dore Schary, Eleanore Griffin",Boys Town,True,WRITING,Dore Schary, Eleanore Griffin,,
1938,1939,11,"George Bernard Shaw, W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",Pygmalion,True,WRITING,George Bernard Shaw, W. P. Lipscomb, Cecil Lewis, Ian Dalrymple
1939,1940,12,Lewis R. Foster,Mr. Smith Goes to Washington,True,WRITING,Lewis R. Foster,,,
1939,1940,12,Sidney Howard,Gone with the Wind,True,WRITING,Sidney Howard,,,
1940,1941,13,Preston Sturges,The Great McGinty,True,WRITING,Preston Sturges,,,
1940,1941,13,"Benjamin Glazer, John S. Toldy","Arise, My Love",True,WRITING,Benjamin Glazer, John S. Toldy,,
1940,1941,13,Donald Ogden Stewart,The Philadelphia Story,True,WRITING,Donald Ogden Stewart,,,
1941,1942,14,"Herman J. Mankiewicz, Orson Welles",Citizen Kane,True,WRITING,Herman J. Mankiewicz, Orson Welles,,
1941,1942,14,Harry Segall,Here Comes Mr. Jordan,True,WRITING,Harry Segall,,,
1941,1942,14,"Sidney Buchman, Seton I. Miller",Here Comes Mr. Jordan,True,WRITING,Sidney Buchman, Seton I. Miller,,
1942,1943,15,Emeric Pressburger,The Invaders,True,WRITING,Emeric Pressburger,,,
1942,1943,15,"Ring Lardner, Jr., Michael Kanin",Woman of the Year,True,WRITING,Ring Lardner, Jr., Michael Kanin,
1942,1943,15,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver,True,WRITING,Arthur Wimperis, George Froeschel, James Hilton, Claudine West
1943,1944,16,William Saroyan,The Human Comedy,True,WRITING,William Saroyan,,,
1943,1944,16,Norman Krasna,Princess O'Rourke,True,WRITING,Norman Krasna,,,
1943,1944,16,"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca,True,WRITING,Julius J. Epstein, Philip G. Epstein, Howard Koch,
1944,1945,17,Leo McCarey,Going My Way,True,WRITING,Leo McCarey,,,
1944,1945,17,Lamar Trotti,Wilson,True,WRITING,Lamar Trotti,,,
1944,1945,17,"Frank Butler, Frank Cavett",Going My Way,True,WRITING,Frank Butler, Frank Cavett,,
1945,1946,18,Charles G. Booth,The House on 92nd Street,True,WRITING,Charles G. Booth,,,
1945,1946,18,Richard Schweizer,Marie-Louise,True,WRITING,Richard Schweizer,,,
1945,1946,18,"Charles Brackett, Billy Wilder",The Lost Weekend,True,WRITING,Charles Brackett, Billy Wilder,,
1946,1947,19,Clemence Dane,Vacation from Marriage,True,WRITING,Clemence Dane,,,
1946,1947,19,"Muriel Box, Sydney Box",The Seventh Veil,True,WRITING,Muriel Box, Sydney Box,,
1946,1947,19,Robert E. Sherwood,The Best Years of Our Lives,True,WRITING,Robert E. Sherwood,,,
1947,1948,20,Valentine Davies,Miracle on 34th Street,True,WRITING,Valentine Davies,,,
1947,1948,20,Sidney Sheldon,The Bachelor and the Bobby-Soxer,True,WRITING,Sidney Sheldon,,,
1947,1948,20,George Seaton,Miracle on 34th Street,True,WRITING,George Seaton,,,
1948,1949,21,"Richard Schweizer, David Wechsler",The Search,True,WRITING,Richard Schweizer, David Wechsler,,
1948,1949,21,John Huston,The Treasure of the Sierra Madre,True,WRITING,John Huston,,,
1949,1950,22,Douglas Morrow,The Stratton Story,True,WRITING,Douglas Morrow,,,
1949,1950,22,Joseph L. Mankiewicz,A Letter to Three Wives,True,WRITING,Joseph L. Mankiewicz,,,
1949,1950,22,Robert Pirosh,Battleground,True,WRITING,Robert Pirosh,,,
1950,1951,23,"Edna Anhalt, Edward Anhalt",Panic in the Streets,True,WRITING,Edna Anhalt, Edward Anhalt,,
1950,1951,23,Joseph L. Mankiewicz,All about Eve,True,WRITING,Joseph L. Mankiewicz,,,
1950,1951,23,"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",Sunset Blvd.,True,WRITING,Charles Brackett, Billy Wilder, D. M. Marshman, Jr.
1951,1952,24,"Paul Dehn, James Bernard",Seven Days to Noon,True,WRITING,Paul Dehn, James Bernard,,
1951,1952,24,"Michael Wilson, Harry Brown",A Place in the Sun,True,WRITING,Michael Wilson, Harry Brown,,
1951,1952,24,Alan Jay Lerner,An American in Paris,True,WRITING,Alan Jay Lerner,,,
1952,1953,25,"Fredric M. Frank, Theodore St. John, Frank Cavett",The Greatest Show on Earth,True,WRITING,Fredric M. Frank, Theodore St. John, Frank Cavett,
1952,1953,25,Charles Schnee,The Bad and the Beautiful,True,WRITING,Charles Schnee,,,
1952,1953,25,T. E. B. Clarke,The Lavender Hill Mob,True,WRITING,T. E. B. Clarke,,,
1953,1954,26,Dalton Trumbo,Roman Holiday,True,WRITING,Dalton Trumbo,,,
1953,1954,26,Daniel Taradash,From Here to Eternity,True,WRITING,Daniel Taradash,,,
1953,1954,26,"Charles Brackett, Walter Reisch, Richard Breen",Titanic,True,WRITING,Charles Brackett, Walter Reisch, Richard Breen,
1954,1955,27,Philip Yordan,Broken Lance,True,WRITING,Philip Yordan,,,
1954,1955,27,George Seaton,The Country Girl,True,WRITING,George Seaton,,,
1954,1955,27,Budd Schulberg,On the Waterfront,True,WRITING,Budd Schulberg,,,
1955,1956,28,Daniel Fuchs,Love Me or Leave Me,True,WRITING,Daniel Fuchs,,,
1955,1956,28,Paddy Chayefsky,Marty,True,WRITING,Paddy Chayefsky,,,
1955,1956,28,"William Ludwig, Sonya Levien",Interrupted Melody,True,WRITING,William Ludwig, Sonya Levien,,
1956,1957,29,Dalton Trumbo,The Brave One,True,WRITING,Dalton Trumbo,,,
1956,1957,29,"James Poe, John Farrow, S.J. Perelman",Around the World in 80 Days,True,WRITING,James Poe, John Farrow, S.J. Perelman,
1956,1957,29,Albert Lamorisse,The Red Balloon,True,WRITING,Albert Lamorisse,,,
1957,1958,30,"Michael Wilson, Carl Foreman, Pierre Boulle",The Bridge on the River Kwai,True,WRITING,Michael Wilson, Carl Foreman, Pierre Boulle,
1957,1958,30,George Wells,Designing Woman,True,WRITING,George Wells,,,
1958,1959,31,Alan Jay Lerner,Gigi,True,WRITING,Alan Jay Lerner,,,
1958,1959,31,"Nedrick Young, Harold Jacob Smith",The Defiant Ones,True,WRITING,Nedrick Young, Harold Jacob Smith,,
1959,1960,32,Neil Paterson,Room at the Top,True,WRITING,Neil Paterson,,,
1959,1960,32,"Russell Rouse, Clarence Greene,   Stanley Shapiro, Maurice Richlin",Pillow Talk,True,WRITING,Russell Rouse, Clarence Greene,   Stanley Shapiro, Maurice Richlin
1960,1961,33,Richard Brooks,Elmer Gantry,True,WRITING,Richard Brooks,,,
1960,1961,33,"Billy Wilder, I. A. L. Diamond",The Apartment,True,WRITING,Billy Wilder, I. A. L. Diamond,,
1961,1962,34,Abby Mann,Judgment at Nuremberg,True,WRITING,Abby Mann,,,
1961,1962,34,William Inge,Splendor in the Grass,True,WRITING,William Inge,,,
1962,1963,35,Horton Foote,To Kill a Mockingbird,True,WRITING,Horton Foote,,,
1962,1963,35,"Ennio de Concini, Alfredo Giannetti, Pietro Germi",Divorce--Italian Style,True,WRITING,Ennio de Concini, Alfredo Giannetti, Pietro Germi,
1963,1964,36,John Osborne,Tom Jones,True,WRITING,John Osborne,,,
1963,1964,36,James R. Webb,How the West Was Won,True,WRITING,James R. Webb,,,
1964,1965,37,Edward Anhalt,Becket,True,WRITING,Edward Anhalt,,,
1964,1965,37,"S. H. Barnett,   Peter Stone, Frank Tarloff",Father Goose,True,WRITING,S. H. Barnett,   Peter Stone, Frank Tarloff,
1965,1966,38,Robert Bolt,Doctor Zhivago,True,WRITING,Robert Bolt,,,
1965,1966,38,Frederic Raphael,Darling,True,WRITING,Frederic Raphael,,,
1966,1967,39,Robert Bolt,A Man for All Seasons,True,WRITING,Robert Bolt,,,
1966,1967,39,"  Claude Lelouch, Pierre Uytterhoeven",A Man and a Woman,True,WRITING,  Claude Lelouch, Pierre Uytterhoeven,,
1967,1968,40,Stirling Silliphant,In the Heat of the Night,True,WRITING,Stirling Silliphant,,,
1967,1968,40,William Rose,Guess Who's Coming to Dinner,True,WRITING,William Rose,,,
1968,1969,41,James Goldman,The Lion in Winter,True,WRITING,James Goldman,,,
1968,1969,41,Mel Brooks,The Producers,True,WRITING,Mel Brooks,,,
1969,1970,42,Waldo Salt,Midnight Cowboy,True,WRITING,Waldo Salt,,,
1969,1970,42,William Goldman,Butch Cassidy and the Sundance Kid,True,WRITING,William Goldman,,,
1970,1971,43,"Ring Lardner, Jr.",M*A*S*H,True,WRITING,Ring Lardner, Jr.,,
1970,1971,43,"Francis Ford Coppola, Edmund H. North",Patton,True,WRITING,Francis Ford Coppola, Edmund H. North,,
1971,1972,44,Ernest Tidyman,The French Connection,True,WRITING,Ernest Tidyman,,,
1971,1972,44,Paddy Chayefsky,The Hospital,True,WRITING,Paddy Chayefsky,,,
1972,1973,45,"Mario Puzo, Francis Ford Coppola",The Godfather,True,WRITING,Mario Puzo, Francis Ford Coppola,,
1972,1973,45,Jeremy Larner,The Candidate,True,WRITING,Jeremy Larner,,,
1973,1974,46,William Peter Blatty,The Exorcist,True,WRITING,William Peter Blatty,,,
1973,1974,46,David S. Ward,The Sting,True,WRITING,David S. Ward,,,
1974,1975,47,Robert Towne,Chinatown,True,WRITING,Robert Towne,,,
1974,1975,47,"Francis Ford Coppola, Mario Puzo",The Godfather Part II,True,WRITING,Francis Ford Coppola, Mario Puzo,,
1975,1976,48,Frank Pierson,Dog Day Afternoon,True,WRITING,Frank Pierson,,,
1975,1976,48,"Lawrence Hauben, Bo Goldman",One Flew over the Cuckoo's Nest,True,WRITING,Lawrence Hauben, Bo Goldman,,
1976,1977,49,William Goldman,All the President's Men,True,WRITING,William Goldman,,,
1976,1977,49,Paddy Chayefsky,Network,True,WRITING,Paddy Chayefsky,,,
1977,1978,50,Alvin Sargent,Julia,True,WRITING,Alvin Sargent,,,
1977,1978,50,"Woody Allen, Marshall Brickman",Annie Hall,True,WRITING,Woody Allen, Marshall Brickman,,
1978,1979,51,Oliver Stone,Midnight Express,True,WRITING,Oliver Stone,,,
1978,1979,51,"Nancy Dowd,   Waldo Salt, Robert C. Jones",Coming Home,True,WRITING,Nancy Dowd,   Waldo Salt, Robert C. Jones,
1979,1980,52,Robert Benton,Kramer vs. Kramer,True,WRITING,Robert Benton,,,
1979,1980,52,Steve Tesich,Breaking Away,True,WRITING,Steve Tesich,,,
1980,1981,53,Alvin Sargent,Ordinary People,True,WRITING,Alvin Sargent,,,
1980,1981,53,Bo Goldman,Melvin and Howard,True,WRITING,Bo Goldman,,,
1981,1982,54,Ernest Thompson,On Golden Pond,True,WRITING,Ernest Thompson,,,
1981,1982,54,Colin Welland,Chariots of Fire,True,WRITING,Colin Welland,,,
1982,1983,55,"Costa-Gavras, Donald Stewart",Missing,True,WRITING,Costa-Gavras, Donald Stewart,,
1982,1983,55,John Briley,Gandhi,True,WRITING,John Briley,,,
1983,1984,56,James L. Brooks,Terms of Endearment,True,WRITING,James L. Brooks,,,
1983,1984,56,Horton Foote,Tender Mercies,True,WRITING,Horton Foote,,,
1984,1985,57,Peter Shaffer,Amadeus,True,WRITING,Peter Shaffer,,,
1984,1985,57,Robert Benton,Places in the Heart,True,WRITING,Robert Benton,,,
1985,1986,58,Kurt Luedtke,Out of Africa,True,WRITING,Kurt Luedtke,,,
1985,1986,58," Earl W. Wallace,  William Kelley, Pamela Wallace, Earl W. Wallace",Witness,True,WRITING, Earl W. Wallace,  William Kelley, Pamela Wallace, Earl W. Wallace
1986,1987,59,Ruth Prawer Jhabvala,A Room with a View,True,WRITING,Ruth Prawer Jhabvala,,,
1986,1987,59,Woody Allen,Hannah and Her Sisters,True,WRITING,Woody Allen,,,
1987,1988,60,"Mark Peploe, Bernardo Bertolucci",The Last Emperor,True,WRITING,Mark Peploe, Bernardo Bertolucci,,
1987,1988,60,John Patrick Shanley,Moonstruck,True,WRITING,John Patrick Shanley,,,
1988,1989,61,Christopher Hampton,Dangerous Liaisons,True,WRITING,Christopher Hampton,,,
1988,1989,61," Ronald Bass,  Barry Morrow",Rain Man,True,WRITING, Ronald Bass,  Barry Morrow,,
1989,1990,62,Alfred Uhry,Driving Miss Daisy,True,WRITING,Alfred Uhry,,,
1989,1990,62,Tom Schulman,Dead Poets Society,True,WRITING,Tom Schulman,,,
1990,1991,63,Michael Blake,Dances With Wolves,True,WRITING,Michael Blake,,,
1990,1991,63,Bruce Joel Rubin,Ghost,True,WRITING,Bruce Joel Rubin,,,
