,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2
3,2010,In My Sleep,In My Sleep,2010-04-23,"Drama, Mystery, Thriller",104,USA,Morning Star Pictures,5.5,33.0,PG-13,,,,,$,30158,$,1000000
5,2010,Rapunzel: L'intreccio della torre,Tangled,2010-11-26,"Animation, Adventure, Comedy",100,USA,Walt Disney Animation Studios,7.7,71.0,PG,Music by Alan Menken; Lyric by Glenn Slater,MUSIC (Original Song),False,Tangled,$,592461732,$,260000000
6,2010,Utomlennye solntsem 2,Utomlennye solntsem 2,2010-04-22,"Drama, History, War",181,Russia,Three T Productions,4.2,,,,,,,$,8266778,$,45000000
7,2010,Tekken,Tekken,2011-08-05,"Action, Crime, Drama",87,"Japan, USA",CST Productions,4.8,,R,,,,,$,1697207,$,30000000
10,2010,A cena con un cretino,Dinner for Schmucks,2010-11-05,Comedy,114,USA,Paramount Pictures,5.9,56.0,PG-13,,,,,$,86855739,$,69000000
11,2010,A-Team,The A-Team,2010-06-18,"Action, Adventure, Thriller",117,"USA, UK",Twentieth Century Fox,6.7,47.0,PG-13,,,,,$,177238796,$,110000000
12,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,Lee Unkrich,ANIMATED FEATURE FILM,True,,$,1066969703,$,200000000
13,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,Music and Lyric by Randy Newman,MUSIC (Original Song),True,,$,1066969703,$,200000000
14,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,"Darla K. Anderson, Producer",BEST PICTURE,False,,$,1066969703,$,200000000
15,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,Tom Myers and Michael Silvers,SOUND EDITING,False,,$,1066969703,$,200000000
16,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",WRITING (Adapted Screenplay),False,,$,1066969703,$,200000000
17,2010,Segurança Nacional,Segurança Nacional,2010-05-07,Action,86,Brazil,G.I. Films,3.5,,,,,,,$,131300,BRL,3000000
19,2010,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010-11-19,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",Universal Pictures,7.5,69.0,PG-13,,,,,$,47664559,$,60000000
22,2010,La città verrà distrutta all'alba,The Crazies,2010-04-23,"Horror, Thriller",101,"USA, United Arab Emirates",Overture Films,6.5,56.0,R,,,,,$,54806823,$,20000000
23,2010,La città verrà distrutta all'alba,The Crazies,2010-04-23,"Horror, Thriller",101,"USA, United Arab Emirates",Overture Films,6.5,56.0,R,,,,,$,54806823,$,20000000
26,2010,Federal,Federal,2010-10-29,"Drama, Thriller",91,"Brazil, France, Colombia",BSB Cinema,3.2,,,,,,,$,568819,EUR,2000000
27,2010,Piranha 3D,Piranha 3D,2011-03-04,"Comedy, Horror",88,"USA, Japan",Dimension Films,5.4,53.0,,,,,,$,83188165,$,24000000
