,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
0,Pál Adrienn,Pál Adrienn,2010,2011-03-17,Drama,136,"Hungary, France, Austria, Netherlands",KMH Film,"Éva Gábor, István Znamenák, Ákos Horváth, Lia Pokorny, Izabella Hegyi, Szabolcs Thuróczy, Ági Margitai, Eszter Márton, Lóránt Matta, Róbert Kardos, Éva Kovács, Gizella Koffler, Krisztina Urbanovits, Mária Erdélyi, Andrea Takáts",6.7,,,,,,,,,
1,A zöld sárkány gyermekei,A zöld sárkány gyermekei,2010,2011-04-07,Drama,89,Hungary,Mythberg Films,"Zoltán Rátóti, Yu Debin, Eszter Bánfalvi, Ferenc Lengyel, Attila Egyed, Shan Yu Tio, Erika Horváth, Uwe Lauer, Gábor Pintér, Szabolcs Thuróczy, Oszkár Ács",6.8,,,,,,,,,
2,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,2012-12-02,"Animation, Adventure, Sci-Fi",45,USA,Jupiter 9 Productions,"Chris Pine, Amanda Peet, Samuel L. Jackson, Hayden Christensen, James Earl Jones, Sandra Oh, William Shatner, Robert Picardo, Brent Spiner, Mark Hamill, Jason Alexander, Tom Kenny, Neil Armstrong, Abigail Breslin, Doug Jones",5.1,$ 20000000,,,,,,,,
3,In My Sleep,In My Sleep,2010,2010-04-23,"Drama, Mystery, Thriller",104,USA,Morning Star Pictures,"Philip Winchester, Tim Draxl, Lacey Chabert, Abigail Spencer, Kelly Overton, Amy Aquino, Tony Hale, Kevin Kilner, Aidan Mitchell, Michael Badalucco, Beth Grant, Alexandra Paul, Kirsten Vangsness, Allan Wasserman, Patrick Labyorteaux",5.5,$ 1000000,$ 30158,$ 30158,33.0,PG-13,,,,
4,Anderson's Cross,Anderson's Cross,2010,2010-05-20,"Comedy, Drama, Romance",98,USA,Illumination Pictures,"Michael Warren, Joanna Cassidy, Joyce Guy, Bill Moseley, Jerome Elston Scott, Alan Blumenfeld, Art Evans, Nicholas Downs, Heather Bergdahl, Micah Stuart, Vera Yell, Mary Jo Catlett, James Snyder, Ryan Carnes, Taran Killam",5.1,$ 300000,,,,,,,,
5,Rapunzel: L'intreccio della torre,Tangled,2010,2010-11-26,"Animation, Adventure, Comedy",100,USA,Walt Disney Animation Studios,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Delaney Rose Stein, Nathan Greno, Byron Howard, Tim Mertens, Michael Bell, Bob Bergen",7.7,$ 260000000,$ 200821936,$ 592461732,71.0,PG,Music by Alan Menken; Lyric by Glenn Slater,MUSIC (Original Song),False,Tangled
6,Utomlennye solntsem 2,Utomlennye solntsem 2,2010,2010-04-22,"Drama, History, War",181,Russia,Three T Productions,"Nikita Mikhalkov, Oleg Menshikov, Nadezhda Mikhalkova, Sergey Makovetskiy, Dmitriy Dyuzhev, Artur Smolyaninov, Andrey Merzlikin, Maksim Sukhanov, Evgeniy Stychkin, Evgeniy Mironov, Andrey Panin, Sergey Garmash, Viktoriya Tolstoganova, Artyom Mikhalkov, Valeriy Zolotukhin",4.2,$ 45000000,,$ 8266778,,,,,,
7,Tekken,Tekken,2010,2011-08-05,"Action, Crime, Drama",87,"Japan, USA",CST Productions,"Jonathan Patrick Foo, Kelly Overton, Cary-Hiroyuki Tagawa, Ian Anthony Dale, Cung Le, Darrin Dewitt Henson, Luke Goss, Mircea Monroe, Tamlyn Tomita, Candice Hillebrand, Marian Zapico, Gary Daniels, John Pyper-Ferguson, Roger Huerta, Lateef Crowder",4.8,$ 30000000,,$ 1697207,,R,,,,
8,Disconnect,Disconnect,2010,2010-08-01,"Drama, Mystery, Sci-Fi",112,USA,Dreamscape Cinema,"Steffany Huckaby, Amanda Troop, Eddie Jones, Holmes Osborne, Michael Muhney, Tami Erin, Curtis Pettijohn, Devorah Eizikovic Richards, Will Zahrn, Karla Strum, Dick Ballard, Linda Ballard, Kalii Baxton, Greg Beam, Andrew Bendel",4.3,,,,,R,,,,
9,Venus & Vegas,Venus & Vegas,2010,2010-11-01,"Action, Comedy, Crime",95,USA,PasoFino Entertainment,"Donald Faison, Eddie Kaye Thomas, Eddie Guerra, Abraham Benrubi, Jaime Pressly, Molly Sims, Roselyn Sanchez, Florence Henderson, Jon Polito, Paul Ben-Victor, Bergen Williams, Joe Rogan, Daisy McCrackin, Eileen Ryan, Jackie Martling",4.1,$ 5000000,,,,,,,,
10,A cena con un cretino,Dinner for Schmucks,2010,2010-11-05,Comedy,114,USA,Paramount Pictures,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement, Stephanie Szostak, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston, Larry Wilmore, Kristen Schaal, P.J. Byrne, Andrea Savage, Nick Kroll, Randall Park",5.9,$ 69000000,$ 73026337,$ 86855739,56.0,PG-13,,,,
11,A-Team,The A-Team,2010,2010-06-18,"Action, Adventure, Thriller",117,"USA, UK",Twentieth Century Fox,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley, Patrick Wilson, Gerald McRaney, Henry Czerny, Yul Vazquez, Brian Bloom, Maury Sterling, Terry Chen, Omari Hardwick, David Hugghins, Jacob Blair",6.7,$ 110000000,$ 77222099,$ 177238796,47.0,PG-13,,,,
12,Toy Story 3 - La grande fuga,Toy Story 3,2010,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton",8.3,$ 200000000,$ 415004880,$ 1066969703,92.0,G,Lee Unkrich,ANIMATED FEATURE FILM,True,
