,name
10,Benjamin Glazer
11,Ben Hecht
18,Hans Kraly
26,Frances Marion
33,Howard Estabrook
34,John Monk Saunders
45,Edwin Burke
46,Frances Marion
57,"Victor Heerman, Sarah Y. Mason"
58,Robert Lord
72,Robert Riskin
73,Arthur Caesar
88,"Ben Hecht, Charles MacArthur"
89,Dudley Nichols
107,"Pierre Collings, Sheridan Gibney"
108,"Pierre Collings, Sheridan Gibney"
126,"William A. Wellman, Robert Carson"
127,"Norman Reilly Raine, Heinz Herald, Geza Herczeg"
143,"Dore Schary, Eleanore Griffin"
144,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple"
162,Lewis R. Foster
163,Sidney Howard
182,Preston Sturges
183,"Benjamin Glazer, John S. Toldy"
184,Donald Ogden Stewart
204,"Herman J. Mankiewicz, Orson Welles"
205,Harry Segall
206,"Sidney Buchman, Seton I. Miller"
229,Emeric Pressburger
230,"Ring Lardner, Jr., Michael Kanin"
231,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West"
252,William Saroyan
253,Norman Krasna
254,"Julius J. Epstein, Philip G. Epstein, Howard Koch"
275,Leo McCarey
276,Lamar Trotti
277,"Frank Butler, Frank Cavett"
298,Charles G. Booth
299,Richard Schweizer
300,"Charles Brackett, Billy Wilder"
320,Clemence Dane
321,"Muriel Box, Sydney Box"
322,Robert E. Sherwood
343,Valentine Davies
344,Sidney Sheldon
345,George Seaton
368,"Richard Schweizer, David Wechsler"
369,John Huston
393,Douglas Morrow
394,Joseph L. Mankiewicz
395,Robert Pirosh
418,"Edna Anhalt, Edward Anhalt"
419,Joseph L. Mankiewicz
420,"Charles Brackett, Billy Wilder, D. M. Marshman, Jr."
443,"Paul Dehn, James Bernard"
444,"Michael Wilson, Harry Brown"
445,Alan Jay Lerner
468,"Fredric M. Frank, Theodore St. John, Frank Cavett"
469,Charles Schnee
470,T. E. B. Clarke
493,Dalton Trumbo
494,Daniel Taradash
495,"Charles Brackett, Walter Reisch, Richard Breen"
518,Philip Yordan
519,George Seaton
520,Budd Schulberg
543,Daniel Fuchs
544,Paddy Chayefsky
545,"William Ludwig, Sonya Levien"
569,Dalton Trumbo
570,"James Poe, John Farrow, S.J. Perelman"
571,Albert Lamorisse
589,"Michael Wilson, Carl Foreman, Pierre Boulle"
590,George Wells
611,Alan Jay Lerner
612,"Nedrick Young, Harold Jacob Smith"
635,Neil Paterson
636,"Story by Russell Rouse, Clarence Greene;    Stanley Shapiro, Maurice Richlin"
659,Richard Brooks
660,"Billy Wilder, I. A. L. Diamond"
683,Abby Mann
684,William Inge
707,Horton Foote
708,"Ennio de Concini, Alfredo Giannetti, Pietro Germi"
732,John Osborne
733,James R. Webb
757,Edward Anhalt
758,"Story by S. H. Barnett;    Peter Stone, Frank Tarloff"
782,Robert Bolt
783,Frederic Raphael
807,Robert Bolt
808,"Story by Claude Lelouch;    Claude Lelouch, Pierre Uytterhoeven"
